Country,CM.2015
Afghanistan,70.4
Albania,9.6
Algeria,24.9
Andorra,3.27
Angola,88.1
Antigua and Barbuda,7.29
Argentina,11.5
Armenia,14.4
Australia,3.87
Austria,3.71
Azerbaijan,26.3
Bahamas,11.2
Bahrain,7.57
Bangladesh,36.1
Barbados,13.3
Belarus,4.03
Belgium,3.99
Belize,15.3
Benin,99.9
Bhutan,33.3
Bolivia,30.8
Bosnia and Herzegovina,6.14
Botswana,40.7
Brazil,15.7
Brunei,10.8
Bulgaria,8.18
Burkina Faso,86.8
Burundi,67
Cambodia,32
Cameroon,85.8
Canada,5.28
Cape Verde,21.5
Central African Republic,129
Chad,130
Chile,7.89
China,10.7
Colombia,15.7
Comoros,74.9
"Congo, Dem. Rep.",97.4
"Congo, Rep.",54.9
Costa Rica,9.05
Cote d'Ivoire,90
Croatia,4.88
Cuba,5.38
Cyprus,2.74
Czech Republic,3.15
Denmark,4.22
Djibouti,65.3
Dominica,32.1
Dominican Republic,31.3
Ecuador,15.1
Egypt,23.6
El Salvador,15.3
Equatorial Guinea,94.2
Eritrea,46.5
Estonia,3.18
Eswatini,62.9
Ethiopia,63.5
Fiji,24.6
Finland,2.2
France,4.1
Gabon,51
Gambia,64.7
Georgia,10.5
Germany,3.86
Ghana,54.7
Greece,4.58
Grenada,15.1
Guatemala,29
Guinea,107
Guinea-Bissau,91.2
Guyana,33.1
Haiti,70.6
Holy See,20.7
Honduras,19.5
Hungary,5.14
Iceland,2.18
India,43.6
Indonesia,28
Iran,16
Iraq,29.5
Ireland,3.83
Israel,3.92
Italy,3.43
Jamaica,15.9
Japan,3.02
Jordan,17.7
Kazakhstan,11.9
Kenya,46.3
Kiribati,57.5
Kuwait,8.56
Kyrgyz Republic,22.3
Lao,53.6
Latvia,4.97
Lebanon,8.3
Lesotho,92.5
Liberia,78.9
Libya,13.3
Liechtenstein,6.54
Lithuania,4.9
Luxembourg,2.64
Madagascar,58.1
Malawi,59.2
Malaysia,8
Maldives,9.98
Mali,109
Malta,6.99
Marshall Islands,36
Mauritania,83.5
Mauritius,14.3
Mexico,14.8
"Micronesia, Fed. Sts.",33.9
Moldova,16.3
Monaco,3.52
Mongolia,18.6
Montenegro,3.46
Morocco,25.5
Mozambique,81.8
Myanmar,51.6
Namibia,44.9
Nauru,34.9
Nepal,36.4
Netherlands,4.03
New Zealand,5.97
Nicaragua,18.8
Niger,94.3
Nigeria,125
North Korea,21.1
North Macedonia,12.3
Norway,2.72
Oman,11.2
Pakistan,76
Palau,19.8
Palestine,21.7
Panama,16.9
Papua New Guinea,51.7
Paraguay,22.2
Peru,16.1
Philippines,30.1
Poland,4.86
Portugal,3.66
Qatar,7.83
Romania,9.21
Russia,8.53
Rwanda,41.3
Samoa,17.2
San Marino,2.2
Sao Tome and Principe,35.1
Saudi Arabia,8.54
Senegal,50.1
Serbia,6.28
Seychelles,14.7
Sierra Leone,122
Singapore,2.72
Slovak Republic,6.06
Slovenia,2.48
Solomon Islands,22
Somalia,133
South Africa,37.7
South Korea,3.5
South Sudan,98.6
Spain,3.28
Sri Lanka,8.75
St. Kitts and Nevis,13.1
St. Lucia,17.8
St. Vincent and the Grenadines,18
Sudan,66.3
Suriname,20.9
Sweden,2.87
Switzerland,4.32
Syria,17.3
Tajikistan,37.9
Tanzania,59.1
Thailand,10.5
Timor-Leste,51
Togo,76.8
Tonga,16.8
Trinidad and Tobago,20.2
Tunisia,17.2
Turkey,12.6
Turkmenistan,50.7
Tuvalu,26.8
Uganda,54.8
Ukraine,9.5
United Arab Emirates,7.83
United Kingdom,4.45
United States,6.8
Uruguay,8.85
Uzbekistan,25.9
Vanuatu,28.6
Venezuela,19.4
Vietnam,21.8
Yemen,55
Zambia,64.6
Zimbabwe,54.3