Country,FR2015
Afghanistan,4.8
Albania,1.71
Algeria,2.84
Angola,5.77
Antigua and Barbuda,2.06
Argentina,2.31
Armenia,1.66
Australia,1.86
Austria,1.49
Azerbaijan,2.09
Bahamas,1.78
Bahrain,2.05
Bangladesh,2.13
Barbados,1.8
Belarus,1.69
Belgium,1.79
Belize,2.54
Benin,5.05
Bhutan,2.09
Bolivia,2.92
Bosnia and Herzegovina,1.35
Botswana,2.77
Brazil,1.74
Brunei,1.88
Bulgaria,1.55
Burkina Faso,5.44
Burundi,5.78
Cambodia,2.59
Cameroon,4.78
Canada,1.59
Cape Verde,2.37
Central African Republic,4.94
Chad,6.05
Chile,1.79
China,1.62
Colombia,1.87
Comoros,4.45
"Congo, Dem. Rep.",6.17
"Congo, Rep.",4.72
Costa Rica,1.8
Cote d'Ivoire,4.97
Croatia,1.47
Cuba,1.72
Cyprus,1.35
Czech Republic,1.52
Denmark,1.79
Djibouti,2.91
Dominican Republic,2.45
Ecuador,2.51
Egypt,3.31
El Salvador,2.1
Equatorial Guinea,4.78
Eritrea,4.21
Estonia,1.62
Eswatini,3.14
Ethiopia,4.32
Fiji,2.54
Finland,1.8
France,1.98
Gabon,3.85
Gambia,5.49
Georgia,2
Germany,1.45
Ghana,4.04
Greece,1.31
Grenada,2.13
Guatemala,3.03
Guinea,4.93
Guinea-Bissau,4.71
Guyana,2.53
Haiti,2.97
Honduras,2.51
Hungary,1.36
Iceland,1.95
India,2.35
Indonesia,2.39
Iran,1.69
Iraq,4.43
Ireland,1.99
Israel,3
Italy,1.46
Jamaica,2.03
Japan,1.44
Jordan,3.45
Kazakhstan,2.66
Kenya,3.92
Kiribati,3.69
Kuwait,1.99
Kyrgyz Republic,3.05
Lao,2.76
Latvia,1.53
Lebanon,1.72
Lesotho,3.14
Liberia,4.65
Libya,2.31
Lithuania,1.64
Luxembourg,1.56
Madagascar,4.24
Malawi,4.65
Malaysia,2.06
Maldives,2.13
Mali,6.15
Malta,1.44
Mauritania,4.74
Mauritius,1.44
Mexico,2.22
"Micronesia, Fed. Sts.",3.19
Moldova,1.25
Mongolia,2.79
Montenegro,1.68
Morocco,2.53
Mozambique,5.31
Myanmar,2.23
Namibia,3.47
Nepal,2.16
Netherlands,1.75
New Zealand,2.01
Nicaragua,2.23
Niger,7.29
Nigeria,5.59
North Korea,1.92
North Macedonia,1.52
Norway,1.84
Oman,2.74
Pakistan,3.55
Palestine,4.08
Panama,2.54
Papua New Guinea,3.71
Paraguay,2.51
Peru,2.43
Philippines,2.96
Poland,1.31
Portugal,1.25
Qatar,1.93
Romania,1.51
Russia,1.74
Rwanda,3.97
Samoa,4.03
Sao Tome and Principe,4.52
Saudi Arabia,2.58
Senegal,4.84
Serbia,1.6
Seychelles,2.33
Sierra Leone,4.56
Singapore,1.24
Slovak Republic,1.43
Slovenia,1.61
Solomon Islands,3.91
Somalia,6.37
South Africa,2.49
South Korea,1.28
South Sudan,4.94
Spain,1.35
Sri Lanka,2.06
St. Lucia,1.47
St. Vincent and the Grenadines,1.95
Sudan,4.6
Suriname,2.4
Sweden,1.91
Switzerland,1.54
Syria,2.97
Tajikistan,3.4
Tanzania,5.08
Thailand,1.5
Timor-Leste,5.62
Togo,4.52
Tonga,3.68
Trinidad and Tobago,1.77
Tunisia,2.22
Turkey,2.07
Turkmenistan,2.93
Uganda,5.68
Ukraine,1.53
United Arab Emirates,1.77
United Kingdom,1.88
United States,1.93
Uruguay,2.01
Uzbekistan,2.31
Vanuatu,3.31
Venezuela,2.34
Vietnam,1.96
Yemen,4.1
Zambia,5.04
Zimbabwe,3.84